raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,intervention_type,intervention_reason,last_updated_utc
torch.nn.Module.register_load_state_dict_post_hook,torch.nn.Module.register_load_state_dict_post_hook,test_nn_Module_register_load_state_dict_post_hook.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,8,8,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.utils._pytree.tree_flatten,torch.utils._pytree.tree_flatten,test_utils__pytree_tree_flatten.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,16,16,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.utils._pytree.tree_map,torch.utils._pytree.tree_map,test_utils__pytree_tree_map.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,11,11,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.utils._pytree.tree_unflatten,torch.utils._pytree.tree_unflatten,test_utils__pytree_tree_unflatten.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,16,16,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.utils.swap_tensors,torch.utils.swap_tensors,test_utils_swap_tensors.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,13,13,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.grad,torch.nn.Parameter.grad,test_nn_Parameter_grad.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,9,9,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.device,torch.nn.Parameter.device,test_nn_Parameter_device.py,fixed,,yes,final,final,yes,fixed,passed,NONE,未捕获到明确的失败详情。,38,38,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Parameter_device.py""]",runs/20260323T150914Z/fixes/test_nn_Parameter_device.md,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.device.type,torch.nn.Parameter.device.type,test_nn_Parameter_device_type.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,未捕获到明确的失败详情。,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,human_required,unknown_failure,2026-03-23 15:52:24 UTC
torch.nn.Parameter.is_contiguous,torch.nn.Parameter.is_contiguous,test_nn_Parameter_is_contiguous.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,6,6,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
torch.nn.Parameter.ndim,torch.nn.Parameter.ndim,test_nn_Parameter_ndim.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,未捕获到明确的失败详情。,7,7,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T150914Z/summary.md,none,,2026-03-23 15:52:24 UTC
